SR_Pcode,District/SAZ_Pcode,District/SAZ_Name_Eng,Tsp_Pcode,Township_Name_Eng,VT_Pcode,Village_Tract_Name_Eng,Village_Pcode,Village_Name_Eng,Village_Name_MMR,Commonly_Used_Local_Vlg_Name_Eng,Commonly_Used_Local_Vlg_Name_Mya,Longitude,Latitude,Source,Start_Date,Modified_End_Date,Notification,Notification_modified,Village_Status
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036008,Ant Paw,176804,Ant Paw,????????,,,95.38564301,26.41146088,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036029,Htan Khaw,176855,Htan Khaw,???????,,,95.61884308,26.20657921,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036005,Htan Khaw Nauk Kone,176797,Htan Khaw Hay Mon,?????????????,,,95.44091034,26.57060051,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036005,Htan Khaw Nauk Kone,176793,Htan Khaw Nauk Kone,?????????????????,,,95.36888123,26.58709908,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036026,Hton San,176850,Hton San,?????,,,95.29412842,26.18915939,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036014,Hway Htaik,176819,Hway Htaik,????????,,,95.33615875,26.32628059,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036004,Kar Yaw Nauk Nyo,176789,Kar Yaw Laung Kaing,?????????????????,,,95.33712769,26.61399078,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036006,Khan Ma Lar,176795,Khan Ma Lar,????????,,,95.40110779,26.51623917,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036006,Khan Ma Lar,176796,Lan Taing Nauk Kone,???????????????????,,,95.42729187,26.47930908,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036006,Khan Ma Lar,176799,LanTaing Nauk Inn,??????????????????,,,95.4503479,26.4987793,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036006,Khan Ma Lar,176798,Shit Par,???????,,,95.48184967,26.53782082,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036023,Kone Khar Lel,176840,Khar Lel,??????,,,95.51921844,26.32254028,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036025,Kone Lan,176846,Kone Lan,?????????,,,95.37905121,26.21352005,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036025,Kone Lan,176849,Mun Nauk Pyaung,???????????????,,,95.41452026,26.18261337,GAD,1-Feb-09,1-Feb-11,,,Inactive
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036020,Ku Ku Nauk Kone,176831,Ku Ku Nauk Kone,???????????????,,,95.70461273,26.38371086,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036020,Ku Ku Nauk Kone,218130,Maw Kee Ywar,??????????,,,95.63892365,26.32692909,Field Sources,1-Dec-10,,,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036020,Ku Ku Nauk Kone,218131,Myan Ku Ku,?????????,,,95.65618896,26.3914299,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036020,Ku Ku Nauk Kone,176833,Wan Tone Nauk Inn,??????????????????,Wan Tone Nauk Inn,?????????????????,95.67073059,26.35334969,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036033,Kyauk Kei,176870,Ahr Ri Kyein,?????????,,,95.36932373,26.0592804,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036033,Kyauk Kei,176868,Kyauk Kei,?????????,,,95.33757019,26.02823067,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036033,Kyauk Kei,176871,Taing Ngan,???????,,,95.27469635,26.03037071,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036012,La Kyan,176816,La Kyan,??????,,,95.29694366,26.38874054,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036032,Lan Khin,176867,Hay Kun,??????,,,95.37184143,26.11544991,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036032,Lan Khin,176866,Lan Khin,??????,,,95.42771912,26.11444092,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036015,Laung Kyan Nauk Kone,176821,Laung Kyan Nauk Kone,????????????????????,,,95.42453003,26.40500069,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036030,Laung Ngauk,176860,Laung Ngauk,??????????,,,95.5546875,26.17894936,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036010,Law Nauk Kone,176812,Hin Mi,?????,,,95.14150238,26.41248894,GAD,1-Feb-09,1-Feb-11,,,Inactive
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036010,Law Nauk Kone,176810,Law Nauk Kone,?????????????,,,95.19024658,26.43261909,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036022,Lon Khin,176838,Lon Khin,??????,,,95.51918793,26.35123062,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036022,Lon Khin,176839,Yun Taing,??????????,,,95.55271149,26.3852005,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036007,Maw Hpun,176801,Maw Hpun Nauk Kone,??????????????????,,,95.33466339,26.45890999,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036007,Maw Hpun,176802,Mun Tone Shaung,???????????????,,,95.29981232,26.47829056,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036003,Nauk Nyu Khar San,176785,Nauk Nyu Khar San,????????????,,,95.34702301,26.54472923,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036003,Nauk Nyu Khar San,176786,Nauk Nyu Man Swe,?????????????,,,95.52471924,26.43700027,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036028,Pon Nyo,176853,Pon Nyo,??????,,,95.17417145,26.30335045,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036028,Pon Nyo,176854,Wai Lan,????,,,95.16285706,26.26823044,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036013,Saw Law,176818,Sat Pa Law,????????,,,95.24326324,26.36021042,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036013,Saw Law,176817,Saw Law,????????,,,95.18643188,26.33782005,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036031,Saw Law Nauk Inn,176865,Mun Nauk Pyaung,???????????????,,,95.4152832,26.18119049,GAD,31-Mar-15,,No. 000/2015,,Active
MMR005,MMR005S001,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036031,Saw Law Nauk Inn,176863,Saw Law Nauk Inn,?????????????????,,,95.45262909,26.20624924,GAD,31-Mar-15,,No. 000/2015,,Active
